,domains,domains_descr,slots,slots_descr
0,Banks_1,Manage bank accounts and transfer money,account_type,The account type of the user
1,Banks_1,Manage bank accounts and transfer money,recipient_account_type,The account type of the recipient whom the user is transfering money to
2,Banks_1,Manage bank accounts and transfer money,balance,The amount of money held in a bank account at a given time
3,Banks_1,Manage bank accounts and transfer money,amount,The amount of money to transfer
4,Banks_1,Manage bank accounts and transfer money,recipient_account_name,The account name of the recipient who is to receive the transfered money
5,Buses_1,Book bus journeys from the biggest bus network in the country,from_location,City where bus is leaving from
6,Buses_1,Book bus journeys from the biggest bus network in the country,to_location,City where bus is going to
7,Buses_1,Book bus journeys from the biggest bus network in the country,from_station,Station where bus is leaving from
8,Buses_1,Book bus journeys from the biggest bus network in the country,to_station,Station where bus is going to
9,Buses_1,Book bus journeys from the biggest bus network in the country,leaving_date,Date of bus leaving for journey
10,Buses_1,Book bus journeys from the biggest bus network in the country,leaving_time,Time of bus leaving for journey
11,Buses_1,Book bus journeys from the biggest bus network in the country,fare,Fare per ticket for journey
12,Buses_1,Book bus journeys from the biggest bus network in the country,travelers,Number of travelers for journey
13,Buses_1,Book bus journeys from the biggest bus network in the country,transfers,Number of transfers in journey
14,Buses_2,Find a bus to take you to the city you want,origin,Origin city for journey
15,Buses_2,Find a bus to take you to the city you want,destination,Destination city for journey
16,Buses_2,Find a bus to take you to the city you want,origin_station_name,Name of the bus terminus at the origin
17,Buses_2,Find a bus to take you to the city you want,destination_station_name,Name of the bus terminus at the destination
18,Buses_2,Find a bus to take you to the city you want,departure_date,Date of bus departure
19,Buses_2,Find a bus to take you to the city you want,price,Price per ticket of the itinerary
20,Buses_2,Find a bus to take you to the city you want,departure_time,Time of bus departure
21,Buses_2,Find a bus to take you to the city you want,group_size,Size of group for the booking
22,Buses_2,Find a bus to take you to the city you want,fare_type,Type of fare for the booking
23,Calendar_1,Calendar service to manage personal events and reservations,event_date,Date of event or for checking availability
24,Calendar_1,Calendar service to manage personal events and reservations,event_time,Start time of event
25,Calendar_1,Calendar service to manage personal events and reservations,event_location,Location of event
