,domains,domains_descr,slots,slots_descr,slots_type
0,Banks_1,Manage bank accounts and transfer money,account_type,The account type of the user,Category
1,Banks_1,Manage bank accounts and transfer money,recipient_account_type,The account type of the recipient whom the user is transfering money to,Category
2,Banks_1,Manage bank accounts and transfer money,balance,The amount of money held in a bank account at a given time,Number
3,Banks_1,Manage bank accounts and transfer money,amount,The amount of money to transfer,Number
4,Banks_1,Manage bank accounts and transfer money,recipient_account_name,The account name of the recipient who is to receive the transfered money,Name
5,Buses_1,Book bus journeys from the biggest bus network in the country,from_location,City where bus is leaving from,Location
6,Buses_1,Book bus journeys from the biggest bus network in the country,to_location,City where bus is going to,Location
7,Buses_1,Book bus journeys from the biggest bus network in the country,from_station,Station where bus is leaving from,Location
8,Buses_1,Book bus journeys from the biggest bus network in the country,to_station,Station where bus is going to,Location
9,Buses_1,Book bus journeys from the biggest bus network in the country,leaving_date,Date of bus leaving for journey,Day
10,Buses_1,Book bus journeys from the biggest bus network in the country,leaving_time,Time of bus leaving for journey,Time
11,Buses_1,Book bus journeys from the biggest bus network in the country,fare,Fare per ticket for journey,Number
12,Buses_1,Book bus journeys from the biggest bus network in the country,travelers,Number of travelers for journey,Number
13,Buses_1,Book bus journeys from the biggest bus network in the country,transfers,Number of transfers in journey,Number
14,Buses_2,Find a bus to take you to the city you want,origin,Origin city for journey,Location
15,Buses_2,Find a bus to take you to the city you want,destination,Destination city for journey,Location
16,Buses_2,Find a bus to take you to the city you want,origin_station_name,Name of the bus terminus at the origin,Location
17,Buses_2,Find a bus to take you to the city you want,destination_station_name,Name of the bus terminus at the destination,Location
18,Buses_2,Find a bus to take you to the city you want,departure_date,Date of bus departure,Day
19,Buses_2,Find a bus to take you to the city you want,price,Price per ticket of the itinerary,Number
20,Buses_2,Find a bus to take you to the city you want,departure_time,Time of bus departure,Time
21,Buses_2,Find a bus to take you to the city you want,group_size,Size of group for the booking,Number
22,Buses_2,Find a bus to take you to the city you want,fare_type,Type of fare for the booking,Category
23,Calendar_1,Calendar service to manage personal events and reservations,event_date,Date of event or for checking availability,Day
24,Calendar_1,Calendar service to manage personal events and reservations,event_time,Start time of event,Time
25,Calendar_1,Calendar service to manage personal events and reservations,event_location,Location of event,Location
26,Calendar_1,Calendar service to manage personal events and reservations,event_name,Title of event,Name
27,Calendar_1,Calendar service to manage personal events and reservations,available_start_time,Starting time of available time slot,Time
28,Calendar_1,Calendar service to manage personal events and reservations,available_end_time,Ending time of available time slot,Time
29,Events_1,The comprehensive portal to find and reserve seats at events near you,category,Type of event,Category
30,Events_1,The comprehensive portal to find and reserve seats at events near you,subcategory,"Subcategory of event, either a music genre or sport name",Category
31,Events_1,The comprehensive portal to find and reserve seats at events near you,event_name,Name of event,Name
32,Events_1,The comprehensive portal to find and reserve seats at events near you,date,Date of occurrence of event,Day
33,Events_1,The comprehensive portal to find and reserve seats at events near you,time,Time when the event is scheduled to start,Time
34,Events_1,The comprehensive portal to find and reserve seats at events near you,number_of_seats,Number of seats to find event tickets for,Number
35,Events_1,The comprehensive portal to find and reserve seats at events near you,city_of_event,City where event is happening,Location
36,Events_1,The comprehensive portal to find and reserve seats at events near you,event_location,Name of event location,Location
37,Events_1,The comprehensive portal to find and reserve seats at events near you,address_of_location,Street address of event location,Location
38,Events_2,Get tickets for the coolest concerts and sports in your area,event_type,Type of event,Category
39,Events_2,Get tickets for the coolest concerts and sports in your area,category,The sport or music subcategory,Category
40,Events_2,Get tickets for the coolest concerts and sports in your area,event_name,Name of match or artist for event,Name
41,Events_2,Get tickets for the coolest concerts and sports in your area,date,Date of event,Day
42,Events_2,Get tickets for the coolest concerts and sports in your area,time,Starting time for event,Time
43,Events_2,Get tickets for the coolest concerts and sports in your area,number_of_tickets,Number of tickets to buy for event,Number
44,Events_2,Get tickets for the coolest concerts and sports in your area,city,City where the event is taking place,Location
45,Events_2,Get tickets for the coolest concerts and sports in your area,venue,Exact venue of event,Location
46,Events_2,Get tickets for the coolest concerts and sports in your area,venue_address,Address of event venue,Location
47,Flights_1,Find your next flight,passengers,Number of passengers in the booking,Number
48,Flights_1,Find your next flight,seating_class,Seating class for the booking,Category
49,Flights_1,Find your next flight,origin_city,Starting city for the trip,Location
50,Flights_1,Find your next flight,destination_city,Ending city for the trip,Location
51,Flights_1,Find your next flight,origin_airport,Airport at the starting city for the trip,Location
52,Flights_1,Find your next flight,destination_airport,Airport at the ending city for the trip,Location
53,Flights_1,Find your next flight,departure_date,Start date for the trip,Day
54,Flights_1,Find your next flight,return_date,Date of the return flight,Day
55,Flights_1,Find your next flight,number_stops,Number of layovers in the flight,Number
56,Flights_1,Find your next flight,outbound_departure_time,Departure time for the outbound leg flight,Time
57,Flights_1,Find your next flight,outbound_arrival_time,Arrival time for the outbound leg flight,Time
58,Flights_1,Find your next flight,inbound_arrival_time,Arrival time for the return leg flight,Time
59,Flights_1,Find your next flight,inbound_departure_time,Departure time for the return leg flight,Time
60,Flights_1,Find your next flight,price,Price of the booking per passenger,Number
61,Flights_1,Find your next flight,refundable,Whether the booking is refundable or not,Boolean
62,Flights_1,Find your next flight,airlines,Name of airline,Name
63,Flights_2,Search for cheap flights across multiple providers,passengers,Number of passengers to book tickets for,Number
64,Flights_2,Search for cheap flights across multiple providers,seating_class,Seating class for the flight tickets,Category
65,Flights_2,Search for cheap flights across multiple providers,origin,City of origin for the flight,Location
66,Flights_2,Search for cheap flights across multiple providers,destination,City of destination for the flight,Location
67,Flights_2,Search for cheap flights across multiple providers,origin_airport,Airport where the flight is departing from,Location
68,Flights_2,Search for cheap flights across multiple providers,destination_airport,Airport where the flight is arriving to,Location
69,Flights_2,Search for cheap flights across multiple providers,departure_date,Date of departure flight on the ticket,Day
70,Flights_2,Search for cheap flights across multiple providers,return_date,Date of return flight on the ticket,Day
71,Flights_2,Search for cheap flights across multiple providers,number_stops,Number of stopovers made by the flight,Number
72,Flights_2,Search for cheap flights across multiple providers,outbound_departure_time,Departure time of the origin-destination flight,Time
73,Flights_2,Search for cheap flights across multiple providers,outbound_arrival_time,Arrival time of the origin-destination flight,Time
74,Flights_2,Search for cheap flights across multiple providers,inbound_arrival_time,Arrival time of the destination-origin flight,Time
75,Flights_2,Search for cheap flights across multiple providers,inbound_departure_time,Departure time of the destination-origin flight,Time
76,Flights_2,Search for cheap flights across multiple providers,fare,Ticket fare for each passenger,Number
77,Flights_2,Search for cheap flights across multiple providers,is_redeye,Boolean flag indicating whether the flight is a red-eye flight,Boolean
78,Flights_2,Search for cheap flights across multiple providers,airlines,Name of the airline to book with,Name
79,Homes_1,A widely used service for finding apartments and scheduling visits,area,City where the apartment is located,Location
80,Homes_1,A widely used service for finding apartments and scheduling visits,address,Address of the apartment,Location
81,Homes_1,A widely used service for finding apartments and scheduling visits,property_name,Name of the apartment,Name
82,Homes_1,A widely used service for finding apartments and scheduling visits,phone_number,Phone number of the apartment,Phone
83,Homes_1,A widely used service for finding apartments and scheduling visits,furnished,Boolean flag indicating if the property is furnished,Boolean
84,Homes_1,A widely used service for finding apartments and scheduling visits,pets_allowed,Boolean flag indicating if pets are allowed,Boolean
85,Homes_1,A widely used service for finding apartments and scheduling visits,rent,Rent per month of the apartment,Number
86,Homes_1,A widely used service for finding apartments and scheduling visits,visit_date,Date for the visit to the apartment,Day
